"TF","TargetGene"
"Bhlha15(+)","Spcs3"
"Bhlha15(+)","Stac2"
"Bhlha15(+)","Lman1"
"Bhlha15(+)","Timm21"
"Mafb(+)","St18"
"Mafb(+)","Sgk3"
"Mafb(+)","4930444P10Rik"
"Mafb(+)","Ly96"
"Mafb(+)","Bend6"
"Mafb(+)","Arhgef4"
"Mafb(+)","Neurl3"
"Mafb(+)","Als2cr12"
"Mafb(+)","Fn1"
"Mafb(+)","Cxcr2"
"Mafb(+)","Cyp27a1"
"Mafb(+)","Ptprn"
"Mafb(+)","Ugt1a6a"
"Mafb(+)","Arl4c"
"Mafb(+)","Fam174a"
"Mafb(+)","Tnfrsf11a"
"Mafb(+)","Serpinb12"
"Mafb(+)","Serpinb11"
"Mafb(+)","Serpinb2"
"Mafb(+)","Serpinb8"
"Mafb(+)","Ralb"
"Mafb(+)","Tmem37"
"Mafb(+)","Etnk2"
"Mafb(+)","Ppfia4"
"Mafb(+)","Pla2g4a"
"Mafb(+)","Rgl1"
"Mafb(+)","Rnasel"
"Mafb(+)","Sh2d1b1"
"Mafb(+)","Fcgr2b"
"Mafb(+)","Pea15a"
"Mafb(+)","Slamf9"
"Mafb(+)","Ifi204"
"Mafb(+)","Dclre1c"
"Mafb(+)","Trdmt1"
"Mafb(+)","Abo"
"Mafb(+)","Phyhd1"
"Mafb(+)","Dennd1a"
"Mafb(+)","Zeb2os"
"Mafb(+)","Dapl1"
"Mafb(+)","Ttn"
"Mafb(+)","Ssfa2"
"Mafb(+)","Ptprj"
"Mafb(+)","Ehf"
"Mafb(+)","Depdc7"
"Mafb(+)","Ehd4"
"Mafb(+)","Ckmt1"
"Mafb(+)","Il1bos"
"Mafb(+)","Slc4a11"
"Mafb(+)","Bmp2"
"Mafb(+)","Fam83c"
"Mafb(+)","Gm826"
"Mafb(+)","Mafb"
"Mafb(+)","Ctsa"
"Mafb(+)","Pltp"
"Mafb(+)","B4galt5"
"Mafb(+)","Slc9a8"
"Mafb(+)","Tfe3"
"Mafb(+)","Cybb"
"Mafb(+)","Gpr34"
"Mafb(+)","Il13ra1"
"Mafb(+)","Arhgef6"
"Mafb(+)","Atp6ap1"
"Mafb(+)","Stard8"
"Mafb(+)","Cysltr1"
"Mafb(+)","Gm6377"
"Mafb(+)","Sat1"
"Mafb(+)","Anxa5"
"Mafb(+)","Rap2b"
"Mafb(+)","Mfsd1"
"Mafb(+)","B3galnt1"
"Mafb(+)","Rapgef2"
