"TF","TargetGene"
"Acaa1b(+)","Slc9a2"
"Acaa1b(+)","Lrrfip1"
"Acaa1b(+)","Plcb2"
"Acaa1b(+)","Abhd12"
"Acaa1b(+)","Sulf2"
"Acaa1b(+)","Asph"
"Acaa1b(+)","9430015G10Rik"
"Acaa1b(+)","Adipor2"
"Acaa1b(+)","Hebp1"
"Acaa1b(+)","Klhdc4"
"Acaa1b(+)","Fam89a"
"Acaa1b(+)","Ear2"
"Acaa1b(+)","Baz1a"
"Acaa1b(+)","Ehhadh"
"Acaa1b(+)","Cpeb3"
"Acaa1b(+)","Cox15"
"Bhlhe41(+)","Adhfe1"
"Bhlhe41(+)","Arfgef1"
"Bhlhe41(+)","Plekhb2"
"Bhlhe41(+)","Rnf149"
"Bhlhe41(+)","Slc9a4"
"Bhlhe41(+)","Nrp2"
"Bhlhe41(+)","Xrcc5"
"Bhlhe41(+)","Smarcal1"
"Bhlhe41(+)","Cnppd1"
"Bhlhe41(+)","Rhbdd1"
"Bhlhe41(+)","B3gnt7"
"Bhlhe41(+)","Dis3l2"
"Bhlhe41(+)","Agap1"
"Bhlhe41(+)","Ndufa10"
"Bhlhe41(+)","Zcchc2"
"Bhlhe41(+)","Tmem185b"
"Bhlhe41(+)","Ccdc93"
"Bhlhe41(+)","Ccnt2"
"Bhlhe41(+)","Zranb3"
"Bhlhe41(+)","Mapkapk2"
"Bhlhe41(+)","Elk4"
"Bhlhe41(+)","Rbbp5"
"Bhlhe41(+)","Ppp1r15b"
"Bhlhe41(+)","Ppp1r12b"
"Bhlhe41(+)","Gm4788"
"Bhlhe41(+)","Edem3"
"Bhlhe41(+)","Glul"
"Bhlhe41(+)","Soat1"
"Bhlhe41(+)","Zbtb37"
"Bhlhe41(+)","Mettl13"
"Bhlhe41(+)","Gorab"
"Bhlhe41(+)","Creg1"
"Bhlhe41(+)","Fam78b"
"Bhlhe41(+)","Aldh9a1"
"Bhlhe41(+)","Uhmk1"
"Bhlhe41(+)","Sh2d1b1"
"Bhlhe41(+)","Fcrla"
"Bhlhe41(+)","Cd84"
"Bhlhe41(+)","Acbd3"
"Bhlhe41(+)","Cnih3"
"Bhlhe41(+)","Disp1"
"Bhlhe41(+)","Aida"
"Bhlhe41(+)","Rab3gap2"
"Bhlhe41(+)","Rps6kc1"
"Bhlhe41(+)","Gm15867"
"Bhlhe41(+)","Frmd4a"
"Bhlhe41(+)","Camk1d"
"Bhlhe41(+)","Ankrd16"
"Bhlhe41(+)","Abi1"
"Bhlhe41(+)","Spopl"
"Bhlhe41(+)","Pnpla7"
"Bhlhe41(+)","Dpp7"
"Bhlhe41(+)","Uap1l1"
"Bhlhe41(+)","Snapc4"
"Bhlhe41(+)","Sec16a"
"Bhlhe41(+)","Rxra"
"Bhlhe41(+)","Ralgds"
"Bhlhe41(+)","Nek6"
"Bhlhe41(+)","Nr6a1"
"Bhlhe41(+)","Orc4"
"Bhlhe41(+)","Rbm43"
"Bhlhe41(+)","Ly75"
"Bhlhe41(+)","Fap"
"Bhlhe41(+)","Galnt3"
"Bhlhe41(+)","Phospho2"
"Bhlhe41(+)","Mettl5"
"Bhlhe41(+)","Hat1"
"Bhlhe41(+)","Fam171b"
"Bhlhe41(+)","Pex16"
"Bhlhe41(+)","Traf6"
"Bhlhe41(+)","Pdhx"
"Bhlhe41(+)","Arl14ep"
"Bhlhe41(+)","Katnbl1"
"Bhlhe41(+)","Aqr"
"Bhlhe41(+)","Eif2ak4"
"Bhlhe41(+)","Bub1b"
"Bhlhe41(+)","Plcb2"
"Bhlhe41(+)","Vps39"
"Bhlhe41(+)","Zfp106"
"Bhlhe41(+)","Galk2"
"Bhlhe41(+)","Mertk"
"Bhlhe41(+)","Tmem87b"
"Bhlhe41(+)","Il1a"
"Bhlhe41(+)","Sirpa"
"Bhlhe41(+)","Fastkd5"
"Bhlhe41(+)","Slx4ip"
"Bhlhe41(+)","Kif16b"
"Bhlhe41(+)","Bfsp1"
"Bhlhe41(+)","Abhd12"
"Bhlhe41(+)","Tbc1d20"
"Bhlhe41(+)","Nol4l"
"Bhlhe41(+)","Zfp341"
"Bhlhe41(+)","Edem2"
"Bhlhe41(+)","Pkig"
"Bhlhe41(+)","Ctsa"
"Bhlhe41(+)","Ctsz"
"Bhlhe41(+)","Dnajc5"
"Bhlhe41(+)","Nudt11"
"Bhlhe41(+)","Nudt10"
"Bhlhe41(+)","Gripap1"
"Bhlhe41(+)","Atp6ap2"
"Bhlhe41(+)","Timp1"
"Bhlhe41(+)","Dock11"
"Bhlhe41(+)","Lonrf3"
"Bhlhe41(+)","Slc25a43"
"Bhlhe41(+)","Xiap"
"Bhlhe41(+)","Zfp280c"
"Bhlhe41(+)","Mtm1"
"Bhlhe41(+)","Ikbkg"
"Bhlhe41(+)","Mpp1"
"Bhlhe41(+)","Snx12"
"Bhlhe41(+)","Uprt"
"Bhlhe41(+)","Pgk1"
"Bhlhe41(+)","Diaph2"
"Bhlhe41(+)","Nxt2"
"Bhlhe41(+)","Acsl4"
"Bhlhe41(+)","Ammecr1"
"Bhlhe41(+)","Mbtps2"
"Bhlhe41(+)","Car5b"
"Bhlhe41(+)","Tceanc"
"Bhlhe41(+)","Hccs"
"Bhlhe41(+)","Pld1"
"Bhlhe41(+)","Egfem1"
"Bhlhe41(+)","Pik3ca"
"Bhlhe41(+)","Nhlrc3"
"Bhlhe41(+)","Serp1"
"Bhlhe41(+)","Bche"
"Bhlhe41(+)","Map9"
"Bhlhe41(+)","Gba"
"Bhlhe41(+)","Kcnn3"
"Bhlhe41(+)","Ube2q1"
"Bhlhe41(+)","Snx27"
"Bhlhe41(+)","Ctsk"
"Bhlhe41(+)","Pde4dip"
"Bhlhe41(+)","Gm5544"
"Bhlhe41(+)","Phgdh"
"Bhlhe41(+)","Dram2"
"Bhlhe41(+)","AI504432"
"Bhlhe41(+)","Sort1"
"Bhlhe41(+)","Sars"
"Bhlhe41(+)","Slc25a24"
"Bhlhe41(+)","Slc35a3"
"Bhlhe41(+)","Agl"
"Bhlhe41(+)","Frrs1"
"Bhlhe41(+)","Snx7"
"Bhlhe41(+)","Bcar3"
"Bhlhe41(+)","Camk2d"
"Bhlhe41(+)","4930539J05Rik"
"Bhlhe41(+)","Lamtor3"
"Bhlhe41(+)","Metap1"
"Bhlhe41(+)","Gbp7"
"Bhlhe41(+)","Mcoln3"
"Bhlhe41(+)","Pdp1"
"Bhlhe41(+)","Atp6v0d2"
"Bhlhe41(+)","Manea"
"Bhlhe41(+)","Aco1"
"Bhlhe41(+)","Ubap1"
"Bhlhe41(+)","Rusc2"
"Bhlhe41(+)","Tstd2"
"Bhlhe41(+)","Tbc1d2"
"Bhlhe41(+)","Tmem38b"
"Bhlhe41(+)","Susd1"
"Bhlhe41(+)","Snx30"
"Bhlhe41(+)","Slc31a2"
"Bhlhe41(+)","Kdm4c"
"Bhlhe41(+)","Dennd4c"
"Bhlhe41(+)","Tusc1"
"Bhlhe41(+)","Ak4"
"Bhlhe41(+)","Cc2d1b"
"Bhlhe41(+)","Zswim5"
"Bhlhe41(+)","Rims3"
"Bhlhe41(+)","Rlf"
"Bhlhe41(+)","Rragc"
"Bhlhe41(+)","Zscan20"
"Bhlhe41(+)","Dhdds"
"Bhlhe41(+)","Lypla2"
"Bhlhe41(+)","E2f2"
"Bhlhe41(+)","Atp13a2"
"Bhlhe41(+)","Plekhm2"
"Bhlhe41(+)","Vps13d"
"Bhlhe41(+)","Gm13212"
"Bhlhe41(+)","Pex14"
